StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-03-15T23:00+00:00Z,2022-03-16T00:00+00:00Z,10Y1001A1001A65H,MAW,B05,1323
2022-03-16T00:00+00:00Z,2022-03-16T01:00+00:00Z,10Y1001A1001A65H,MAW,B05,1290
2022-03-16T01:00+00:00Z,2022-03-16T02:00+00:00Z,10Y1001A1001A65H,MAW,B05,1304
2022-03-16T02:00+00:00Z,2022-03-16T03:00+00:00Z,10Y1001A1001A65H,MAW,B05,1323
2022-03-16T03:00+00:00Z,2022-03-16T04:00+00:00Z,10Y1001A1001A65H,MAW,B05,1325
2022-03-16T04:00+00:00Z,2022-03-16T05:00+00:00Z,10Y1001A1001A65H,MAW,B05,1398
2022-03-16T05:00+00:00Z,2022-03-16T06:00+00:00Z,10Y1001A1001A65H,MAW,B05,1559
2022-03-16T06:00+00:00Z,2022-03-16T07:00+00:00Z,10Y1001A1001A65H,MAW,B05,1373
2022-03-16T07:00+00:00Z,2022-03-16T08:00+00:00Z,10Y1001A1001A65H,MAW,B05,1206
2022-03-16T08:00+00:00Z,2022-03-16T09:00+00:00Z,10Y1001A1001A65H,MAW,B05,1249
2022-03-16T09:00+00:00Z,2022-03-16T10:00+00:00Z,10Y1001A1001A65H,MAW,B05,969
2022-03-16T10:00+00:00Z,2022-03-16T11:00+00:00Z,10Y1001A1001A65H,MAW,B05,1127
2022-03-16T11:00+00:00Z,2022-03-16T12:00+00:00Z,10Y1001A1001A65H,MAW,B05,1092
2022-03-16T12:00+00:00Z,2022-03-16T13:00+00:00Z,10Y1001A1001A65H,MAW,B05,905
2022-03-16T13:00+00:00Z,2022-03-16T14:00+00:00Z,10Y1001A1001A65H,MAW,B05,1084
2022-03-16T14:00+00:00Z,2022-03-16T15:00+00:00Z,10Y1001A1001A65H,MAW,B05,1258
2022-03-16T15:00+00:00Z,2022-03-16T16:00+00:00Z,10Y1001A1001A65H,MAW,B05,1398
2022-03-16T16:00+00:00Z,2022-03-16T17:00+00:00Z,10Y1001A1001A65H,MAW,B05,1306
2022-03-16T17:00+00:00Z,2022-03-16T18:00+00:00Z,10Y1001A1001A65H,MAW,B05,1253
2022-03-16T18:00+00:00Z,2022-03-16T19:00+00:00Z,10Y1001A1001A65H,MAW,B05,879
2022-03-16T19:00+00:00Z,2022-03-16T20:00+00:00Z,10Y1001A1001A65H,MAW,B05,916
2022-03-16T20:00+00:00Z,2022-03-16T21:00+00:00Z,10Y1001A1001A65H,MAW,B05,927
2022-03-16T21:00+00:00Z,2022-03-16T22:00+00:00Z,10Y1001A1001A65H,MAW,B05,927
2022-03-16T22:00+00:00Z,2022-03-16T23:00+00:00Z,10Y1001A1001A65H,MAW,B05,676
