StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-02-23T23:00+00:00Z,2022-02-24T00:00+00:00Z,10Y1001A1001A65H,MAW,B17,116
2022-02-24T00:00+00:00Z,2022-02-24T01:00+00:00Z,10Y1001A1001A65H,MAW,B17,115
2022-02-24T01:00+00:00Z,2022-02-24T02:00+00:00Z,10Y1001A1001A65H,MAW,B17,115
2022-02-24T02:00+00:00Z,2022-02-24T03:00+00:00Z,10Y1001A1001A65H,MAW,B17,105
2022-02-24T03:00+00:00Z,2022-02-24T04:00+00:00Z,10Y1001A1001A65H,MAW,B17,104
2022-02-24T04:00+00:00Z,2022-02-24T05:00+00:00Z,10Y1001A1001A65H,MAW,B17,105
2022-02-24T05:00+00:00Z,2022-02-24T06:00+00:00Z,10Y1001A1001A65H,MAW,B17,107
2022-02-24T06:00+00:00Z,2022-02-24T07:00+00:00Z,10Y1001A1001A65H,MAW,B17,109
2022-02-24T07:00+00:00Z,2022-02-24T08:00+00:00Z,10Y1001A1001A65H,MAW,B17,103
2022-02-24T08:00+00:00Z,2022-02-24T09:00+00:00Z,10Y1001A1001A65H,MAW,B17,106
2022-02-24T09:00+00:00Z,2022-02-24T10:00+00:00Z,10Y1001A1001A65H,MAW,B17,103
2022-02-24T10:00+00:00Z,2022-02-24T11:00+00:00Z,10Y1001A1001A65H,MAW,B17,103
2022-02-24T11:00+00:00Z,2022-02-24T12:00+00:00Z,10Y1001A1001A65H,MAW,B17,121
2022-02-24T12:00+00:00Z,2022-02-24T13:00+00:00Z,10Y1001A1001A65H,MAW,B17,127
2022-02-24T13:00+00:00Z,2022-02-24T14:00+00:00Z,10Y1001A1001A65H,MAW,B17,125
2022-02-24T14:00+00:00Z,2022-02-24T15:00+00:00Z,10Y1001A1001A65H,MAW,B17,125
2022-02-24T15:00+00:00Z,2022-02-24T16:00+00:00Z,10Y1001A1001A65H,MAW,B17,129
2022-02-24T16:00+00:00Z,2022-02-24T17:00+00:00Z,10Y1001A1001A65H,MAW,B17,127
2022-02-24T17:00+00:00Z,2022-02-24T18:00+00:00Z,10Y1001A1001A65H,MAW,B17,124
2022-02-24T18:00+00:00Z,2022-02-24T19:00+00:00Z,10Y1001A1001A65H,MAW,B17,119
2022-02-24T19:00+00:00Z,2022-02-24T20:00+00:00Z,10Y1001A1001A65H,MAW,B17,102
2022-02-24T20:00+00:00Z,2022-02-24T21:00+00:00Z,10Y1001A1001A65H,MAW,B17,102
2022-02-24T21:00+00:00Z,2022-02-24T22:00+00:00Z,10Y1001A1001A65H,MAW,B17,118
2022-02-24T22:00+00:00Z,2022-02-24T23:00+00:00Z,10Y1001A1001A65H,MAW,B17,118
