StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-03-16T23:00+00:00Z,2022-03-17T00:00+00:00Z,10YPL-AREA-----S,MAW,B02,5558
2022-03-17T00:00+00:00Z,2022-03-17T01:00+00:00Z,10YPL-AREA-----S,MAW,B02,5476
2022-03-17T01:00+00:00Z,2022-03-17T02:00+00:00Z,10YPL-AREA-----S,MAW,B02,5523
2022-03-17T02:00+00:00Z,2022-03-17T03:00+00:00Z,10YPL-AREA-----S,MAW,B02,5499
2022-03-17T03:00+00:00Z,2022-03-17T04:00+00:00Z,10YPL-AREA-----S,MAW,B02,5406
2022-03-17T04:00+00:00Z,2022-03-17T05:00+00:00Z,10YPL-AREA-----S,MAW,B02,5494
2022-03-17T05:00+00:00Z,2022-03-17T06:00+00:00Z,10YPL-AREA-----S,MAW,B02,5795
2022-03-17T06:00+00:00Z,2022-03-17T07:00+00:00Z,10YPL-AREA-----S,MAW,B02,5810
2022-03-17T07:00+00:00Z,2022-03-17T08:00+00:00Z,10YPL-AREA-----S,MAW,B02,5701
2022-03-17T08:00+00:00Z,2022-03-17T09:00+00:00Z,10YPL-AREA-----S,MAW,B02,5586
2022-03-17T09:00+00:00Z,2022-03-17T10:00+00:00Z,10YPL-AREA-----S,MAW,B02,5392
2022-03-17T10:00+00:00Z,2022-03-17T11:00+00:00Z,10YPL-AREA-----S,MAW,B02,5389
2022-03-17T11:00+00:00Z,2022-03-17T12:00+00:00Z,10YPL-AREA-----S,MAW,B02,5618
2022-03-17T12:00+00:00Z,2022-03-17T13:00+00:00Z,10YPL-AREA-----S,MAW,B02,5844
2022-03-17T13:00+00:00Z,2022-03-17T14:00+00:00Z,10YPL-AREA-----S,MAW,B02,5873
2022-03-17T14:00+00:00Z,2022-03-17T15:00+00:00Z,10YPL-AREA-----S,MAW,B02,5731
2022-03-17T15:00+00:00Z,2022-03-17T16:00+00:00Z,10YPL-AREA-----S,MAW,B02,5786
2022-03-17T16:00+00:00Z,2022-03-17T17:00+00:00Z,10YPL-AREA-----S,MAW,B02,5952
2022-03-17T17:00+00:00Z,2022-03-17T18:00+00:00Z,10YPL-AREA-----S,MAW,B02,5973
2022-03-17T18:00+00:00Z,2022-03-17T19:00+00:00Z,10YPL-AREA-----S,MAW,B02,5832
2022-03-17T19:00+00:00Z,2022-03-17T20:00+00:00Z,10YPL-AREA-----S,MAW,B02,5909
2022-03-17T20:00+00:00Z,2022-03-17T21:00+00:00Z,10YPL-AREA-----S,MAW,B02,5658
2022-03-17T21:00+00:00Z,2022-03-17T22:00+00:00Z,10YPL-AREA-----S,MAW,B02,5357
2022-03-17T22:00+00:00Z,2022-03-17T23:00+00:00Z,10YPL-AREA-----S,MAW,B02,5179
