StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-03-29T23:00+00:00Z,2022-03-30T00:00+00:00Z,10Y1001A1001A65H,MAW,B19,197
2022-03-30T00:00+00:00Z,2022-03-30T01:00+00:00Z,10Y1001A1001A65H,MAW,B19,215
2022-03-30T01:00+00:00Z,2022-03-30T02:00+00:00Z,10Y1001A1001A65H,MAW,B19,259
2022-03-30T02:00+00:00Z,2022-03-30T03:00+00:00Z,10Y1001A1001A65H,MAW,B19,350
2022-03-30T03:00+00:00Z,2022-03-30T04:00+00:00Z,10Y1001A1001A65H,MAW,B19,434
2022-03-30T04:00+00:00Z,2022-03-30T05:00+00:00Z,10Y1001A1001A65H,MAW,B19,547
2022-03-30T05:00+00:00Z,2022-03-30T06:00+00:00Z,10Y1001A1001A65H,MAW,B19,611
2022-03-30T06:00+00:00Z,2022-03-30T07:00+00:00Z,10Y1001A1001A65H,MAW,B19,722
2022-03-30T07:00+00:00Z,2022-03-30T08:00+00:00Z,10Y1001A1001A65H,MAW,B19,1009
2022-03-30T08:00+00:00Z,2022-03-30T09:00+00:00Z,10Y1001A1001A65H,MAW,B19,1207
2022-03-30T09:00+00:00Z,2022-03-30T10:00+00:00Z,10Y1001A1001A65H,MAW,B19,1301
2022-03-30T10:00+00:00Z,2022-03-30T11:00+00:00Z,10Y1001A1001A65H,MAW,B19,1395
2022-03-30T11:00+00:00Z,2022-03-30T12:00+00:00Z,10Y1001A1001A65H,MAW,B19,1387
2022-03-30T12:00+00:00Z,2022-03-30T13:00+00:00Z,10Y1001A1001A65H,MAW,B19,1320
2022-03-30T13:00+00:00Z,2022-03-30T14:00+00:00Z,10Y1001A1001A65H,MAW,B19,1284
2022-03-30T14:00+00:00Z,2022-03-30T15:00+00:00Z,10Y1001A1001A65H,MAW,B19,1273
2022-03-30T15:00+00:00Z,2022-03-30T16:00+00:00Z,10Y1001A1001A65H,MAW,B19,1170
2022-03-30T16:00+00:00Z,2022-03-30T17:00+00:00Z,10Y1001A1001A65H,MAW,B19,965
2022-03-30T17:00+00:00Z,2022-03-30T18:00+00:00Z,10Y1001A1001A65H,MAW,B19,901
2022-03-30T18:00+00:00Z,2022-03-30T19:00+00:00Z,10Y1001A1001A65H,MAW,B19,901
2022-03-30T19:00+00:00Z,2022-03-30T20:00+00:00Z,10Y1001A1001A65H,MAW,B19,862
2022-03-30T20:00+00:00Z,2022-03-30T21:00+00:00Z,10Y1001A1001A65H,MAW,B19,829
2022-03-30T21:00+00:00Z,2022-03-30T22:00+00:00Z,10Y1001A1001A65H,MAW,B19,813
2022-03-30T22:00+00:00Z,2022-03-30T23:00+00:00Z,10Y1001A1001A65H,MAW,B19,811
