StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-03-14T23:00+00:00Z,2022-03-15T00:00+00:00Z,10YPL-AREA-----S,MAW,B16,0
2022-03-15T00:00+00:00Z,2022-03-15T01:00+00:00Z,10YPL-AREA-----S,MAW,B16,0
2022-03-15T01:00+00:00Z,2022-03-15T02:00+00:00Z,10YPL-AREA-----S,MAW,B16,0
2022-03-15T02:00+00:00Z,2022-03-15T03:00+00:00Z,10YPL-AREA-----S,MAW,B16,0
2022-03-15T03:00+00:00Z,2022-03-15T04:00+00:00Z,10YPL-AREA-----S,MAW,B16,0
2022-03-15T04:00+00:00Z,2022-03-15T05:00+00:00Z,10YPL-AREA-----S,MAW,B16,100
2022-03-15T05:00+00:00Z,2022-03-15T06:00+00:00Z,10YPL-AREA-----S,MAW,B16,595
2022-03-15T06:00+00:00Z,2022-03-15T07:00+00:00Z,10YPL-AREA-----S,MAW,B16,1524
2022-03-15T07:00+00:00Z,2022-03-15T08:00+00:00Z,10YPL-AREA-----S,MAW,B16,2369
2022-03-15T08:00+00:00Z,2022-03-15T09:00+00:00Z,10YPL-AREA-----S,MAW,B16,3187
2022-03-15T09:00+00:00Z,2022-03-15T10:00+00:00Z,10YPL-AREA-----S,MAW,B16,3380
2022-03-15T10:00+00:00Z,2022-03-15T11:00+00:00Z,10YPL-AREA-----S,MAW,B16,3317
2022-03-15T11:00+00:00Z,2022-03-15T12:00+00:00Z,10YPL-AREA-----S,MAW,B16,3047
2022-03-15T12:00+00:00Z,2022-03-15T13:00+00:00Z,10YPL-AREA-----S,MAW,B16,2336
2022-03-15T13:00+00:00Z,2022-03-15T14:00+00:00Z,10YPL-AREA-----S,MAW,B16,1633
2022-03-15T14:00+00:00Z,2022-03-15T15:00+00:00Z,10YPL-AREA-----S,MAW,B16,977
2022-03-15T15:00+00:00Z,2022-03-15T16:00+00:00Z,10YPL-AREA-----S,MAW,B16,334
2022-03-15T16:00+00:00Z,2022-03-15T17:00+00:00Z,10YPL-AREA-----S,MAW,B16,10
2022-03-15T17:00+00:00Z,2022-03-15T18:00+00:00Z,10YPL-AREA-----S,MAW,B16,0
2022-03-15T18:00+00:00Z,2022-03-15T19:00+00:00Z,10YPL-AREA-----S,MAW,B16,0
2022-03-15T19:00+00:00Z,2022-03-15T20:00+00:00Z,10YPL-AREA-----S,MAW,B16,0
2022-03-15T20:00+00:00Z,2022-03-15T21:00+00:00Z,10YPL-AREA-----S,MAW,B16,0
2022-03-15T21:00+00:00Z,2022-03-15T22:00+00:00Z,10YPL-AREA-----S,MAW,B16,0
2022-03-15T22:00+00:00Z,2022-03-15T23:00+00:00Z,10YPL-AREA-----S,MAW,B16,0
