StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-03-25T23:00+00:00Z,2022-03-26T00:00+00:00Z,10YIT-GRTN-----B,MAW,B12,22
2022-03-26T00:00+00:00Z,2022-03-26T01:00+00:00Z,10YIT-GRTN-----B,MAW,B12,22
2022-03-26T01:00+00:00Z,2022-03-26T02:00+00:00Z,10YIT-GRTN-----B,MAW,B12,22
2022-03-26T02:00+00:00Z,2022-03-26T03:00+00:00Z,10YIT-GRTN-----B,MAW,B12,22
2022-03-26T03:00+00:00Z,2022-03-26T04:00+00:00Z,10YIT-GRTN-----B,MAW,B12,26
2022-03-26T04:00+00:00Z,2022-03-26T05:00+00:00Z,10YIT-GRTN-----B,MAW,B12,181
2022-03-26T05:00+00:00Z,2022-03-26T06:00+00:00Z,10YIT-GRTN-----B,MAW,B12,435
2022-03-26T06:00+00:00Z,2022-03-26T07:00+00:00Z,10YIT-GRTN-----B,MAW,B12,455
2022-03-26T07:00+00:00Z,2022-03-26T08:00+00:00Z,10YIT-GRTN-----B,MAW,B12,289
2022-03-26T08:00+00:00Z,2022-03-26T09:00+00:00Z,10YIT-GRTN-----B,MAW,B12,72
2022-03-26T09:00+00:00Z,2022-03-26T10:00+00:00Z,10YIT-GRTN-----B,MAW,B12,8
2022-03-26T10:00+00:00Z,2022-03-26T11:00+00:00Z,10YIT-GRTN-----B,MAW,B12,4
2022-03-26T11:00+00:00Z,2022-03-26T12:00+00:00Z,10YIT-GRTN-----B,MAW,B12,4
2022-03-26T12:00+00:00Z,2022-03-26T13:00+00:00Z,10YIT-GRTN-----B,MAW,B12,4
2022-03-26T13:00+00:00Z,2022-03-26T14:00+00:00Z,10YIT-GRTN-----B,MAW,B12,77
2022-03-26T14:00+00:00Z,2022-03-26T15:00+00:00Z,10YIT-GRTN-----B,MAW,B12,36
2022-03-26T15:00+00:00Z,2022-03-26T16:00+00:00Z,10YIT-GRTN-----B,MAW,B12,249
2022-03-26T16:00+00:00Z,2022-03-26T17:00+00:00Z,10YIT-GRTN-----B,MAW,B12,453
2022-03-26T17:00+00:00Z,2022-03-26T18:00+00:00Z,10YIT-GRTN-----B,MAW,B12,441
2022-03-26T18:00+00:00Z,2022-03-26T19:00+00:00Z,10YIT-GRTN-----B,MAW,B12,172
2022-03-26T19:00+00:00Z,2022-03-26T20:00+00:00Z,10YIT-GRTN-----B,MAW,B12,139
2022-03-26T20:00+00:00Z,2022-03-26T21:00+00:00Z,10YIT-GRTN-----B,MAW,B12,158
2022-03-26T21:00+00:00Z,2022-03-26T22:00+00:00Z,10YIT-GRTN-----B,MAW,B12,179
2022-03-26T22:00+00:00Z,2022-03-26T23:00+00:00Z,10YIT-GRTN-----B,MAW,B12,132
