StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-04-03T23:00+00:00Z,2022-04-04T00:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-04-04T00:00+00:00Z,2022-04-04T01:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-04-04T01:00+00:00Z,2022-04-04T02:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-04-04T02:00+00:00Z,2022-04-04T03:00+00:00Z,10YIT-GRTN-----B,MAW,B10,79
2022-04-04T03:00+00:00Z,2022-04-04T04:00+00:00Z,10YIT-GRTN-----B,MAW,B10,107
2022-04-04T04:00+00:00Z,2022-04-04T05:00+00:00Z,10YIT-GRTN-----B,MAW,B10,352
2022-04-04T05:00+00:00Z,2022-04-04T06:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1066
2022-04-04T06:00+00:00Z,2022-04-04T07:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1899
2022-04-04T07:00+00:00Z,2022-04-04T08:00+00:00Z,10YIT-GRTN-----B,MAW,B10,445
2022-04-04T08:00+00:00Z,2022-04-04T09:00+00:00Z,10YIT-GRTN-----B,MAW,B10,26
2022-04-04T09:00+00:00Z,2022-04-04T10:00+00:00Z,10YIT-GRTN-----B,MAW,B10,87
2022-04-04T10:00+00:00Z,2022-04-04T11:00+00:00Z,10YIT-GRTN-----B,MAW,B10,81
2022-04-04T11:00+00:00Z,2022-04-04T12:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-04-04T12:00+00:00Z,2022-04-04T13:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-04-04T13:00+00:00Z,2022-04-04T14:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-04-04T14:00+00:00Z,2022-04-04T15:00+00:00Z,10YIT-GRTN-----B,MAW,B10,26
2022-04-04T15:00+00:00Z,2022-04-04T16:00+00:00Z,10YIT-GRTN-----B,MAW,B10,26
2022-04-04T16:00+00:00Z,2022-04-04T17:00+00:00Z,10YIT-GRTN-----B,MAW,B10,105
2022-04-04T17:00+00:00Z,2022-04-04T18:00+00:00Z,10YIT-GRTN-----B,MAW,B10,996
2022-04-04T18:00+00:00Z,2022-04-04T19:00+00:00Z,10YIT-GRTN-----B,MAW,B10,319
2022-04-04T19:00+00:00Z,2022-04-04T20:00+00:00Z,10YIT-GRTN-----B,MAW,B10,64
2022-04-04T20:00+00:00Z,2022-04-04T21:00+00:00Z,10YIT-GRTN-----B,MAW,B10,387
2022-04-04T21:00+00:00Z,2022-04-04T22:00+00:00Z,10YIT-GRTN-----B,MAW,B10,21
2022-04-04T22:00+00:00Z,2022-04-04T23:00+00:00Z,10YIT-GRTN-----B,MAW,B10,42
2022-04-03T23:00+00:00Z,2022-04-04T00:00+00:00Z,,MAW,B10,494
2022-04-04T00:00+00:00Z,2022-04-04T01:00+00:00Z,,MAW,B10,771
2022-04-04T01:00+00:00Z,2022-04-04T02:00+00:00Z,,MAW,B10,475
2022-04-04T02:00+00:00Z,2022-04-04T03:00+00:00Z,,MAW,B10,2
2022-04-04T03:00+00:00Z,2022-04-04T04:00+00:00Z,,MAW,B10,33
2022-04-04T04:00+00:00Z,2022-04-04T05:00+00:00Z,,MAW,B10,18
2022-04-04T05:00+00:00Z,2022-04-04T06:00+00:00Z,,MAW,B10,2
2022-04-04T06:00+00:00Z,2022-04-04T07:00+00:00Z,,MAW,B10,2
2022-04-04T07:00+00:00Z,2022-04-04T08:00+00:00Z,,MAW,B10,43
2022-04-04T08:00+00:00Z,2022-04-04T09:00+00:00Z,,MAW,B10,81
2022-04-04T09:00+00:00Z,2022-04-04T10:00+00:00Z,,MAW,B10,44
2022-04-04T10:00+00:00Z,2022-04-04T11:00+00:00Z,,MAW,B10,7
2022-04-04T11:00+00:00Z,2022-04-04T12:00+00:00Z,,MAW,B10,526
2022-04-04T12:00+00:00Z,2022-04-04T13:00+00:00Z,,MAW,B10,529
2022-04-04T13:00+00:00Z,2022-04-04T14:00+00:00Z,,MAW,B10,374
2022-04-04T14:00+00:00Z,2022-04-04T15:00+00:00Z,,MAW,B10,13
2022-04-04T15:00+00:00Z,2022-04-04T16:00+00:00Z,,MAW,B10,81
2022-04-04T16:00+00:00Z,2022-04-04T17:00+00:00Z,,MAW,B10,81
2022-04-04T17:00+00:00Z,2022-04-04T18:00+00:00Z,,MAW,B10,5
2022-04-04T18:00+00:00Z,2022-04-04T19:00+00:00Z,,MAW,B10,18
2022-04-04T19:00+00:00Z,2022-04-04T20:00+00:00Z,,MAW,B10,81
2022-04-04T20:00+00:00Z,2022-04-04T21:00+00:00Z,,MAW,B10,43
2022-04-04T21:00+00:00Z,2022-04-04T22:00+00:00Z,,MAW,B10,2
2022-04-04T22:00+00:00Z,2022-04-04T23:00+00:00Z,,MAW,B10,2
