StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-01-08T23:00+00:00Z,2022-01-09T00:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-09T00:00+00:00Z,2022-01-09T01:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-09T01:00+00:00Z,2022-01-09T02:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-09T02:00+00:00Z,2022-01-09T03:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-09T03:00+00:00Z,2022-01-09T04:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-09T04:00+00:00Z,2022-01-09T05:00+00:00Z,10YIT-GRTN-----B,MAW,B10,157
2022-01-09T05:00+00:00Z,2022-01-09T06:00+00:00Z,10YIT-GRTN-----B,MAW,B10,23
2022-01-09T06:00+00:00Z,2022-01-09T07:00+00:00Z,10YIT-GRTN-----B,MAW,B10,389
2022-01-09T07:00+00:00Z,2022-01-09T08:00+00:00Z,10YIT-GRTN-----B,MAW,B10,326
2022-01-09T08:00+00:00Z,2022-01-09T09:00+00:00Z,10YIT-GRTN-----B,MAW,B10,301
2022-01-09T09:00+00:00Z,2022-01-09T10:00+00:00Z,10YIT-GRTN-----B,MAW,B10,258
2022-01-09T10:00+00:00Z,2022-01-09T11:00+00:00Z,10YIT-GRTN-----B,MAW,B10,170
2022-01-09T11:00+00:00Z,2022-01-09T12:00+00:00Z,10YIT-GRTN-----B,MAW,B10,151
2022-01-09T12:00+00:00Z,2022-01-09T13:00+00:00Z,10YIT-GRTN-----B,MAW,B10,697
2022-01-09T13:00+00:00Z,2022-01-09T14:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1057
2022-01-09T14:00+00:00Z,2022-01-09T15:00+00:00Z,10YIT-GRTN-----B,MAW,B10,949
2022-01-09T15:00+00:00Z,2022-01-09T16:00+00:00Z,10YIT-GRTN-----B,MAW,B10,791
2022-01-09T16:00+00:00Z,2022-01-09T17:00+00:00Z,10YIT-GRTN-----B,MAW,B10,696
2022-01-09T17:00+00:00Z,2022-01-09T18:00+00:00Z,10YIT-GRTN-----B,MAW,B10,654
2022-01-09T18:00+00:00Z,2022-01-09T19:00+00:00Z,10YIT-GRTN-----B,MAW,B10,681
2022-01-09T19:00+00:00Z,2022-01-09T20:00+00:00Z,10YIT-GRTN-----B,MAW,B10,187
2022-01-09T20:00+00:00Z,2022-01-09T21:00+00:00Z,10YIT-GRTN-----B,MAW,B10,154
2022-01-09T21:00+00:00Z,2022-01-09T22:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-09T22:00+00:00Z,2022-01-09T23:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-08T23:00+00:00Z,2022-01-09T00:00+00:00Z,,MAW,B10,55
2022-01-09T00:00+00:00Z,2022-01-09T01:00+00:00Z,,MAW,B10,32
2022-01-09T01:00+00:00Z,2022-01-09T02:00+00:00Z,,MAW,B10,179
2022-01-09T02:00+00:00Z,2022-01-09T03:00+00:00Z,,MAW,B10,239
2022-01-09T03:00+00:00Z,2022-01-09T04:00+00:00Z,,MAW,B10,400
2022-01-09T04:00+00:00Z,2022-01-09T05:00+00:00Z,,MAW,B10,322
2022-01-09T05:00+00:00Z,2022-01-09T06:00+00:00Z,,MAW,B10,135
2022-01-09T06:00+00:00Z,2022-01-09T07:00+00:00Z,,MAW,B10,2
2022-01-09T07:00+00:00Z,2022-01-09T08:00+00:00Z,,MAW,B10,2
2022-01-09T08:00+00:00Z,2022-01-09T09:00+00:00Z,,MAW,B10,3
2022-01-09T09:00+00:00Z,2022-01-09T10:00+00:00Z,,MAW,B10,3
2022-01-09T10:00+00:00Z,2022-01-09T11:00+00:00Z,,MAW,B10,2
2022-01-09T11:00+00:00Z,2022-01-09T12:00+00:00Z,,MAW,B10,3
2022-01-09T16:00+00:00Z,2022-01-09T17:00+00:00Z,,MAW,B10,2
2022-01-09T17:00+00:00Z,2022-01-09T18:00+00:00Z,,MAW,B10,2
2022-01-09T18:00+00:00Z,2022-01-09T19:00+00:00Z,,MAW,B10,2
2022-01-09T19:00+00:00Z,2022-01-09T20:00+00:00Z,,MAW,B10,3
2022-01-09T20:00+00:00Z,2022-01-09T21:00+00:00Z,,MAW,B10,3
2022-01-09T21:00+00:00Z,2022-01-09T22:00+00:00Z,,MAW,B10,30
2022-01-09T22:00+00:00Z,2022-01-09T23:00+00:00Z,,MAW,B10,254
