StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-04-10T23:00+00:00Z,2022-04-11T00:00+00:00Z,10YPL-AREA-----S,MAW,B05,7547
2022-04-11T00:00+00:00Z,2022-04-11T01:00+00:00Z,10YPL-AREA-----S,MAW,B05,7660
2022-04-11T01:00+00:00Z,2022-04-11T02:00+00:00Z,10YPL-AREA-----S,MAW,B05,7771
2022-04-11T02:00+00:00Z,2022-04-11T03:00+00:00Z,10YPL-AREA-----S,MAW,B05,8680
2022-04-11T03:00+00:00Z,2022-04-11T04:00+00:00Z,10YPL-AREA-----S,MAW,B05,9991
2022-04-11T04:00+00:00Z,2022-04-11T05:00+00:00Z,10YPL-AREA-----S,MAW,B05,10566
2022-04-11T05:00+00:00Z,2022-04-11T06:00+00:00Z,10YPL-AREA-----S,MAW,B05,10673
2022-04-11T06:00+00:00Z,2022-04-11T07:00+00:00Z,10YPL-AREA-----S,MAW,B05,10420
2022-04-11T07:00+00:00Z,2022-04-11T08:00+00:00Z,10YPL-AREA-----S,MAW,B05,10185
2022-04-11T08:00+00:00Z,2022-04-11T09:00+00:00Z,10YPL-AREA-----S,MAW,B05,10111
2022-04-11T09:00+00:00Z,2022-04-11T10:00+00:00Z,10YPL-AREA-----S,MAW,B05,10087
2022-04-11T10:00+00:00Z,2022-04-11T11:00+00:00Z,10YPL-AREA-----S,MAW,B05,10188
2022-04-11T11:00+00:00Z,2022-04-11T12:00+00:00Z,10YPL-AREA-----S,MAW,B05,9699
2022-04-11T12:00+00:00Z,2022-04-11T13:00+00:00Z,10YPL-AREA-----S,MAW,B05,9885
2022-04-11T13:00+00:00Z,2022-04-11T14:00+00:00Z,10YPL-AREA-----S,MAW,B05,10259
2022-04-11T14:00+00:00Z,2022-04-11T15:00+00:00Z,10YPL-AREA-----S,MAW,B05,11107
2022-04-11T15:00+00:00Z,2022-04-11T16:00+00:00Z,10YPL-AREA-----S,MAW,B05,11699
2022-04-11T16:00+00:00Z,2022-04-11T17:00+00:00Z,10YPL-AREA-----S,MAW,B05,12255
2022-04-11T17:00+00:00Z,2022-04-11T18:00+00:00Z,10YPL-AREA-----S,MAW,B05,12412
2022-04-11T18:00+00:00Z,2022-04-11T19:00+00:00Z,10YPL-AREA-----S,MAW,B05,11948
2022-04-11T19:00+00:00Z,2022-04-11T20:00+00:00Z,10YPL-AREA-----S,MAW,B05,11662
2022-04-11T20:00+00:00Z,2022-04-11T21:00+00:00Z,10YPL-AREA-----S,MAW,B05,11257
2022-04-11T21:00+00:00Z,2022-04-11T22:00+00:00Z,10YPL-AREA-----S,MAW,B05,11094
2022-04-11T22:00+00:00Z,2022-04-11T23:00+00:00Z,10YPL-AREA-----S,MAW,B05,11089
