StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-04-06T23:00+00:00Z,2022-04-07T00:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1711
2022-04-07T00:00+00:00Z,2022-04-07T01:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1709
2022-04-07T01:00+00:00Z,2022-04-07T02:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1706
2022-04-07T02:00+00:00Z,2022-04-07T03:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1756
2022-04-07T03:00+00:00Z,2022-04-07T04:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1913
2022-04-07T04:00+00:00Z,2022-04-07T05:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1963
2022-04-07T05:00+00:00Z,2022-04-07T06:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1993
2022-04-07T06:00+00:00Z,2022-04-07T07:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1894
2022-04-07T07:00+00:00Z,2022-04-07T08:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1880
2022-04-07T08:00+00:00Z,2022-04-07T09:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1733
2022-04-07T09:00+00:00Z,2022-04-07T10:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1666
2022-04-07T10:00+00:00Z,2022-04-07T11:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1656
2022-04-07T11:00+00:00Z,2022-04-07T12:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1671
2022-04-07T12:00+00:00Z,2022-04-07T13:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1696
2022-04-07T13:00+00:00Z,2022-04-07T14:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1800
2022-04-07T14:00+00:00Z,2022-04-07T15:00+00:00Z,10YIT-GRTN-----B,MAW,B20,1857
2022-04-07T15:00+00:00Z,2022-04-07T16:00+00:00Z,10YIT-GRTN-----B,MAW,B20,2140
2022-04-07T16:00+00:00Z,2022-04-07T17:00+00:00Z,10YIT-GRTN-----B,MAW,B20,2233
2022-04-07T17:00+00:00Z,2022-04-07T18:00+00:00Z,10YIT-GRTN-----B,MAW,B20,2358
2022-04-07T18:00+00:00Z,2022-04-07T19:00+00:00Z,10YIT-GRTN-----B,MAW,B20,2244
2022-04-07T19:00+00:00Z,2022-04-07T20:00+00:00Z,10YIT-GRTN-----B,MAW,B20,2192
2022-04-07T20:00+00:00Z,2022-04-07T21:00+00:00Z,10YIT-GRTN-----B,MAW,B20,2019
2022-04-07T21:00+00:00Z,2022-04-07T22:00+00:00Z,10YIT-GRTN-----B,MAW,B20,2137
2022-04-07T22:00+00:00Z,2022-04-07T23:00+00:00Z,10YIT-GRTN-----B,MAW,B20,2156
